logt,num,r,r-i
7.0,0,12.277000000000001,1.588
7.0,1,11.317,1.3880000000000001
7.0,2,10.713,1.288
7.0,3,10.245999999999999,1.218
7.0,4,9.841000000000001,1.158
7.0,5,9.432,1.114
7.0,6,9.02,1.025
7.0,7,8.591000000000001,0.9109999999999999
7.0,8,8.166,0.8190000000000001
7.0,9,7.766,0.7390000000000001
7.0,10,6.952999999999999,0.606
7.0,11,6.167000000000001,0.512
7.0,12,5.473,0.43200000000000005
7.0,13,4.908,0.38
7.0,14,4.413,0.342
7.0,15,3.8789999999999996,0.299
7.0,16,3.465,0.265
7.0,17,3.102,0.23
7.0,18,2.799,0.19
7.0,19,2.5140000000000002,0.142
7.0,20,2.265,0.09699999999999999
7.0,21,2.0669999999999997,0.06
7.0,22,1.8980000000000001,0.031
7.0,23,1.825,0.021
7.0,24,1.7180000000000002,0.011000000000000001
7.0,25,1.483,-0.015
7.0,26,1.189,-0.037000000000000005
7.0,27,1.1520000000000001,-0.039
7.0,28,0.688,-0.06
7.0,29,0.307,-0.073
7.0,30,-0.013999999999999999,-0.084
7.0,31,-0.284,-0.09300000000000001
7.0,32,-0.54,-0.10099999999999999
7.0,33,-0.9990000000000001,-0.114
7.0,34,-1.122,-0.11800000000000001
7.0,35,-1.4,-0.127
7.0,36,-1.893,-0.139
7.0,37,-2.155,-0.14300000000000002
7.0,38,-2.7510000000000003,-0.153
7.0,39,-3.127,-0.156
7.0,40,-3.3819999999999997,-0.158
7.0,41,-3.948,-0.158
7.0,42,-4.177,-0.156
7.0,43,-4.438,-0.154
7.0,44,-5.025,-0.141
7.0,45,-5.3420000000000005,-0.133
7.0,46,-5.515,-0.129
7.0,47,-5.511,-0.13
7.0,48,-5.41,-0.136
7.0,49,-5.355,-0.142
7.0,50,-5.337000000000001,-0.14400000000000002
7.0,51,-5.382999999999999,-0.14
7.0,52,-5.476,-0.135
7.0,53,-5.555,-0.132
7.0,54,-5.635,-0.129
7.0,55,-5.718999999999999,-0.126
7.0,56,-5.806,-0.121
7.0,57,-5.917000000000001,-0.11199999999999999
7.0,58,-6.013,-0.107
7.0,59,-6.104,-0.102
7.0,60,-6.142,-0.1
7.0,61,-6.228,-0.094
7.0,62,-6.307,-0.08900000000000001
7.0,63,-6.391,-0.084
7.0,64,-6.492999999999999,-0.078
7.0,65,-6.587999999999999,-0.069
7.0,66,-6.662999999999999,-0.064
7.0,67,-6.7589999999999995,-0.06
7.0,68,-6.845,-0.057
7.0,69,-6.95,-0.051
7.0,70,-7.042000000000001,-0.042
7.0,71,-7.104,-0.036000000000000004
7.0,72,-7.185,-0.027999999999999997
7.0,73,-7.252999999999999,-0.025
7.0,74,-7.32,-0.021
7.0,75,-7.4079999999999995,-0.015
7.0,76,-7.477,-0.01
7.0,77,-7.544,0.001
7.0,78,-7.622000000000001,0.017
7.0,79,-7.687,0.025
7.0,80,-7.749,0.048
7.0,81,-7.782,0.076
7.0,82,-7.8020000000000005,0.115
7.0,83,-7.813,0.149
7.0,84,-7.815,0.174
7.0,85,-7.812,0.201
7.0,86,-7.806,0.22699999999999998
7.0,87,-7.791,0.257
7.0,88,-7.771,0.28800000000000003
7.0,89,-7.739,0.331
7.0,90,-7.702999999999999,0.361
7.0,91,-7.6610000000000005,0.387
7.0,92,-7.5920000000000005,0.423
7.0,93,-7.5329999999999995,0.461
7.0,94,-7.523,0.488
7.0,95,-7.56,0.516
7.0,96,-7.591,0.531
7.0,97,-7.625,0.546
7.0,98,-7.65,0.563
7.0,99,-7.66,0.59
7.0,100,-7.037999999999999,0.995
7.0,101,-6.952000000000001,1.228
7.05,0,12.277000000000001,1.588
7.05,1,11.317,1.3880000000000001
7.05,2,10.713,1.288
7.05,3,10.245999999999999,1.218
7.05,4,9.841000000000001,1.158
7.05,5,9.432,1.114
7.05,6,9.02,1.025
7.05,7,8.591000000000001,0.9109999999999999
7.05,8,8.166,0.8190000000000001
7.05,9,7.766,0.7390000000000001
7.05,10,6.952999999999999,0.606
7.05,11,6.167000000000001,0.512
7.05,12,5.473,0.433
7.05,13,4.908,0.38
7.05,14,4.412,0.342
7.05,15,3.8789999999999996,0.3
7.05,16,3.465,0.265
7.05,17,3.1010000000000004,0.22899999999999998
7.05,18,2.799,0.19
7.05,19,2.5140000000000002,0.142
7.05,20,2.265,0.096
