#r,Jmag,J_H
9.299579999999999,16.812,0.37800026
8.95032,16.163,0.51399994
9.9177,13.376,0.48200035
9.05376,16.062,0.7630005
9.8577,14.112,0.6810007
9.48318,16.352,0.9529991
9.442739999999999,13.917,-1.4969997
9.16152,16.499,0.42700005
9.23766,14.001,0.5600004
9.423540000000001,14.542,0.32899952
9.161579999999999,15.908,0.76500034
9.107700000000001,15.916,0.80700016
9.06996,15.507,0.7720003
8.981639999999999,16.582,0.69600105
8.44626,15.661,0.6870003
8.83836,16.789,0.77400017
9.0846,16.669,0.9560003
8.60448,15.975,0.67199993
8.50512,15.958,0.52000046
9.137400000000001,14.654,0.61100006
8.53722,16.628,0.044000626
9.63402,16.431,0.6199999
9.03612,15.715,0.71399975
7.44426,15.45,0.717
8.61498,14.41,1.0159998
9.009360000000001,16.143,0.7039995
8.84718,16.576,0.40299988
8.09664,12.692,0.25699997
7.85928,16.046,0.96699905
8.35236,16.484,0.414999
7.798919999999999,16.316,0.71399975
8.66088,15.174,0.33300018
7.90122,16.425,0.8279991
8.47218,15.417,0.58899975
8.14794,15.672,0.94799995
8.6913,12.901,0.9390001
8.56416,14.589,0.65600014
8.598479999999999,11.947,0.98099995
7.9485600000000005,11.936,0.99300003
8.71578,16.129,0.44099998
8.35962,16.369,0.6459999
7.25082,15.304,0.7229996
7.803959999999999,15.737,0.6320009
8.3277,15.35,0.67800045
8.10726,13.376,0.90600014
8.15292,15.916,0.8299999
7.79652,12.459,0.75599957
7.40196,15.982,0.7730007
7.34196,14.158,0.36900043
9.3192,15.635,0.45699978
7.7370600000000005,16.366,0.5189991
7.89942,15.466,0.691
7.589519999999999,16.455,0.64299965
7.644419999999999,15.943,0.72700024
7.18284,13.449,0.5
7.66854,16.454,0.76100063
8.34198,16.117,0.43700027
7.372319999999999,15.287,0.9119997
8.306460000000001,16.24,0.6459999
8.62896,15.814,0.5830002
8.84604,15.775,1.0349998
8.77626,16.48,0.5699997
9.883560000000001,16.649,0.6669998
7.12446,15.27,0.5090008
6.1185,15.831,0.13700008
7.46208,16.178,0.3909998
7.68498,16.209,0.8199997
6.03606,16.349,0.9310007
6.99336,14.974,0.5120001
6.8790000000000004,16.423,0.29199982
7.77144,16.656,0.6189995
6.8618999999999994,8.388,0.90599966
6.8616600000000005,15.574,0.80300045
7.05582,15.313,0.85999966
7.772519999999999,16.569,0.76100063
5.906700000000001,16.407,0.92599964
6.69528,15.504,0.74300003
7.470420000000001,16.344,1.0089998
6.80976,14.651,0.592
6.230580000000001,15.477,0.68200016
7.0998,14.601,0.6399994
7.3857,14.556,0.3449993
5.90592,15.205,0.43400002
7.07274,16.009,0.6490011
6.66702,16.631,0.64000034
5.76492,15.924,0.6779995
7.30608,15.029,0.8880005
6.73638,16.394,1.3589993
6.82032,15.727,0.3260002
6.7338,16.574,1.572999
5.76186,15.755,0.71000004
5.55066,15.285,0.45499992
6.7638,16.681,0.5639992
6.7651200000000005,16.408,0.7800007
5.92338,15.757,0.50699997
5.97492,15.497,0.75199986
7.1055,15.935,1.3460007
7.24878,14.912,0.8409996
7.48596,12.295,1.0679998
7.33392,16.88,0.33799934
7.637160000000001,14.013,0.94599915
6.914160000000001,16.508,0.6869993
7.8718200000000005,16.101,0.7340002
8.04744,16.085,0.27799892
8.12508,16.21,0.4099989
7.141859999999999,16.777,1.0680008
8.11908,16.385,0.5980005
8.25492,16.36,0.5600004
8.32566,15.919,0.63899994
8.3589,15.695,0.47599983
3.8284200000000004,16.713,0.8679991
5.58366,16.242,0.14500046
6.03906,14.01,0.5710001
4.97322,16.114,0.42400074
5.62206,16.645,0.75300026
5.97636,16.297,0.6850004
4.87572,16.757,0.6870003
5.20026,16.405,0.45700073
5.49144,15.496,0.5340004
5.69466,15.496,0.041000366
5.9685,15.172,0.5120001
5.72862,15.485,0.50599957
6.528,16.384,0.4770012
